"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"PBE1620FF2Lou01";"Pays-Bas espagnols (XVIIᵉ s)";"Anvers";"Pays-Bas espagnols (XVIIᵉ s)";0;"Anvers";0
"PBE1630JB2Bes01";"Pays-Bas espagnols (XVIIᵉ s)";"Anvers";"Pays-Bas espagnols (XVIIᵉ s)";0;"Anvers";0
"SEm1516AAlBud01";"Pays germaniques";"Ratisbonne";"Pays germaniques";0;"Ratisbonne";0
"PBa1516JvCLou01";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"SEm1500MSBNG01";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"SEm1505MSBNG02";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"Ang1528HolJLou01";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"Ang1528HolJLou02";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"Fra1530AnoBvSE01";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1510AnoBvSE01";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE02";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE03";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE04";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1550AnoArras";"Royaume de France";"Arras";"Royaume de France";0;"Arras";0
"Fra1490BeugMMB";"Royaume de France";"Amiens";"Royaume de France";0;"Amiens";0
"PBa1501BosPra";"Pays-Bas (XVIᵉ s)";"Bois-le-Duc";"Pays-Bas (XVIᵉ s)";0;"Bois-le-Duc";0
"SEm1512MSBatNG";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"SEm1506LCaNG01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1506LCaNG02";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1530AnoNG01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"PBa1506QMetNG01";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"PBa1510QMetNG01";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"PBa1510QMetNG02";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"PBa1515GDNG01";"Pays-Bas (XVIᵉ s)";"Brugge (?)";"Pays-Bas (XVIᵉ s)";0;"Brugge";1
"PBa1515GDNG02";"Pays-Bas (XVIᵉ s)";"Brugge (?)";"Pays-Bas (XVIᵉ s)";0;"Brugge";1
"SEm1525HWertNG01";"Pays germaniques";"Munich";"Pays germaniques";0;"Munich";0
"Ang1533HHJNG";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"SEm1529BaegNG01";"Pays germaniques";"Wesel";"Pays germaniques";0;"Wesel";0
"SEm1529BaegNG02";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1514HBGNG01";"Pays germaniques";"Fribourg-en-Brisgau";"Pays germaniques";0;"Fribourg-en-Brisgau";0
"SEm1512HBGNG02";"Pays germaniques";"Strasbourg (?)";"Pays germaniques";0;"Strasbourg";1
"PBa1520JMNG";"Pays-Bas (XVIᵉ s)";"Haarlem (?)";"Pays-Bas (XVIᵉ s)";0;"Haarlem";1
"PBa1520JBellNG";"Pays-Bas (XVIᵉ s)";"Douai";"Pays-Bas (XVIᵉ s)";0;"Douai";0
"PBa1550MFPNG";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"Ita1501AmBNG01";"Péninsule italienne";"Lombardie";"Péninsule italienne";0;"Lombardie";0
"Ita1501AmBNG02";"Péninsule italienne";"Lombardie";"Péninsule italienne";0;"Lombardie";0
"Ita1500SBottNG";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1500BottNG01";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1500BottNG02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1500AMaNG01";"Péninsule italienne";"Mantoue (?)";"Péninsule italienne";0;"Mantoue";1
"Ita1500AMaNG02";"Péninsule italienne";"Mantoue (?)";"Péninsule italienne";0;"Mantoue";1
"Ita1500AMaNG03";"Péninsule italienne";"Mantoue (?)";"Péninsule italienne";0;"Mantoue";1
"Ita1502LCoetcollNG";"Péninsule italienne";"Bologne";"Péninsule italienne";0;"Bologne";0
"Ita1500VFoNG";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500NPiNG01";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1500NPiNG02";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1510BFuNG";"Péninsule italienne";"Sienne";"Péninsule italienne";0;"Sienne";0
"Ita1515AnoNordNG01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1540GFerrNG01";"Péninsule italienne";"Milan (?)";"Péninsule italienne";0;"Milan";1
"Ita1522LMaNG01";"Péninsule italienne";"Ferrare (?)";"Péninsule italienne";0;"Ferrare";1
"Fra1500NBeParESG";"Royaume de France";"Paris";"Royaume de France";0;"Paris";0
"PBa1554FFloKSMKA";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"PBa1525JCVLou";"Pays-Bas (XVIᵉ s)";"Malines (?)";"Pays-Bas (XVIᵉ s)";0;"Malines";1
"PBa1525BvOBoij";"Pays-Bas (XVIᵉ s)";"Bruxelles";"Pays-Bas (XVIᵉ s)";0;"Bruxelles";0
"PBa1520BvOCPAS";"Pays-Bas (XVIᵉ s)";"Bruxelles";"Pays-Bas (XVIᵉ s)";0;"Bruxelles";0
"PBa1521MSMiNYHD";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1527JGoMuAPi";"Pays-Bas (XVIᵉ s)";"Middelburg";"Pays-Bas (XVIᵉ s)";0;"Middelburg";0
"PBa1500DJaLou";"Pays-Bas (XVIᵉ s)";"Amsterdam";"Pays-Bas (XVIᵉ s)";0;"Amsterdam";0
"PBa1530SBeLou";"Pays-Bas (XVIᵉ s)";"Bruges";"Pays-Bas (XVIᵉ s)";0;"Bruges";0
"PBa1517JGoLou";"Pays-Bas (XVIᵉ s)";"Middelburg (?)";"Pays-Bas (XVIᵉ s)";0;"Middelburg";1
"PBa1515JBeerNG01";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"Ita1520LMaNG02";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1514LMaNG03";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1506LMaNG04";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1522LMaNG05";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1535GPaNG01";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1540MoNG01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1550ASchNG01";"Péninsule italienne";"Venise";"Péninsule italienne";0;"Venise";0
"Ita1502RaphNG01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1505RaphNG02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1507RaphNG03";"Péninsule italienne";"Florence (?)";"Péninsule italienne";0;"Florence";1
"Ita1512BLoNG01";"Péninsule italienne";"Carpi";"Péninsule italienne";0;"Carpi";0
"Ita1538GCarpiNG01";"Péninsule italienne";"Ferrare (?)";"Péninsule italienne";0;"Ferrare";1
"Ita1520BacchNG";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1507MarzNG01";"Péninsule italienne";"Venise (?)";"Péninsule italienne";0;"Venise";1
"Ita1500MarzNG02";"Péninsule italienne";"Venise (?)";"Péninsule italienne";0;"Venise";1
"SEm1520AWoeMuAPi01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1520AWoeMuAPi02";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1526HWertMuAPi01";"Pays germaniques";"Landshut (?)";"Pays germaniques";0;"Landshut";1
"SEm1526HWertMuAPi02";"Pays germaniques";"Landshut (?)";"Pays germaniques";0;"Landshut";1
"PBE1598JB1NG";"Pays-Bas espagnols (XVIIᵉ s)";"Anvers";"Pays-Bas espagnols (XVIIᵉ s)";0;"Anvers";0
"PBE1620AnoNG";"Pays-Bas espagnols (XVIIᵉ s)";;"Pays-Bas espagnols (XVIIᵉ s)";0;"Ville inconnue (Pays-Bas espagnols)";0
"SEm1615KroGNM01";"Pays germaniques";"Schneeberg";"Pays germaniques";0;"Schneeberg";0
"SEm1530BruyGNM";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"SEm1549HBeGNM";"Pays germaniques";"Heidelberg (?)";"Pays germaniques";0;"Heidelberg";1
"SEm1525HPlaGNM";"Pays germaniques";"Nuremberg";"Pays germaniques";0;"Nuremberg";0
"SEm1512MSchMuAPi";"Pays germaniques";"Ulm (?)";"Pays germaniques";0;"Ulm";1
"SEm1535BBeGNM";"Pays germaniques";"Munich";"Pays germaniques";0;"Munich";0
"PBa1500GDatLyonMBA01";"Pays-Bas (XVIᵉ s)";"Bruges";"Pays-Bas (XVIᵉ s)";0;"Bruges";0
"Ita1500BMoLyonMBA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1505PerLyonMBA";"Péninsule italienne";"Pérouse (?)";"Péninsule italienne";0;"Pérouse";1
"Fra1520AnoLyonMBA01";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA01";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA02";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA03";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA04";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA05";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA06";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA07";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1505MMahLyonMBA08";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1507ClGLyonMBA";"Royaume de France";"Lyon";"Royaume de France";0;"Lyon";0
"Esp1500MSCPaLyonMBA01";"Espagne";"Castille";"Espagne";0;"Castille";0
"Esp1500MSCPaLyonMBA02";"Espagne";"Castille";"Espagne";0;"Castille";0
"Fra1623JStLyonMBA";"Royaume de France";"Lyon";"Royaume de France";0;"Lyon";0
"SEm1500AnoChMBA01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"Ita1500AnoChMBA02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1500AnoChMBA03";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Esp1530MRSJChMBA01";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1530MRSJChMBA02";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Fra1637AnoGui";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"PBa1515JvCMuAPi";"Pays-Bas (XVIᵉ s)";"Anvers (?)";"Pays-Bas (XVIᵉ s)";0;"Anvers";1
"PBa1557AnoPhiMA";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Ita1590FariVerCas";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"PU1629RembMH";"Provinces-Unies";"Leyde";"Provinces-Unies";0;"Leyde";0
"PU1656VermMET";"Provinces-Unies";"Delft";"Provinces-Unies";0;"Delft";0
"PU1657vMierKHM";"Provinces-Unies";"Leyde";"Provinces-Unies";0;"Leyde";0
"PU1650SchelGuim";"Provinces-Unies";;"Provinces-Unies";0;"Ville inconnue (Provinces-Unies)";0
"PU165XSchelV&A";"Provinces-Unies";;"Provinces-Unies";0;"Ville inconnue (Provinces-Unies)";0
"PU1641SaenRijks";"Provinces-Unies";"Haarlem";"Provinces-Unies";0;"Haarlem";0
"Ita1500ARomSMSM";"Péninsule italienne";"Rome";"Péninsule italienne";0;"Rome";0
"Ita1505SGattiAQMNaz";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1511MAqRietiMC";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1508AnoRMSJeanLatran";"Péninsule italienne";"Rome";"Péninsule italienne";0;"Rome";0
"Ita1537BecLou01";"Péninsule italienne";"Sienne";"Péninsule italienne";0;"Sienne";0
"Ita1537BecLou02";"Péninsule italienne";"Sienne";"Péninsule italienne";0;"Sienne";0
"Ita1460AnoLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1524CaroLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1494BZeLou01";"Péninsule italienne";"Milan (?)";"Péninsule italienne";0;"Milan";1
"Ita1536GRoLou01";"Péninsule italienne";"Mantoue";"Péninsule italienne";0;"Mantoue";0
"Ita1517PontLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1569ACaLou";"Péninsule italienne";"Milan (?)";"Péninsule italienne";0;"Milan";1
"Ita1516SaccLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1525GCalLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1506LCoLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1518AdSLou01";"Péninsule italienne";"France";"Péninsule italienne";0;"Ville française*";0
"Ita1503RaphLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475PerLou01";"Péninsule italienne";"Pérouse (?)";"Péninsule italienne";0;"Pérouse";1
"Ita1500BoltLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1580AnoLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500BPeLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500BLuLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1670CDoLou01";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1653CDoLou 02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1540PBoLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1525GSavLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1588TintoLou";"Péninsule italienne";"Venise";"Péninsule italienne";0;"Venise";0
"Ita1575JBaLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1555VeroLou";"Péninsule italienne";"Venise";"Péninsule italienne";0;"Venise";0
"Ita1450PdCLou";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1475PerLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1480LdCLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1507RaphLou02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1500MdOLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500OrtLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1600AnoLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1481AMaLou01";"Péninsule italienne";"Mantoue";"Péninsule italienne";0;"Mantoue";0
"Ita1456AMaLou02";"Péninsule italienne";"Padoue";"Péninsule italienne";0;"Padoue";0
"Ita1475BdGLou01";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1495AMaLou03";"Péninsule italienne";"Mantoue";"Péninsule italienne";0;"Mantoue";0
"Ita1500AMaLou04";"Péninsule italienne";"Mantoue";"Péninsule italienne";0;"Mantoue";0
"Ita1496AMaLou05";"Péninsule italienne";"Mantoue";"Péninsule italienne";0;"Mantoue";0
"Ita1500BATLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475BdGLou02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1475FnoLiLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475FnoLiLou02";"Péninsule italienne";"Florence (?)";"Péninsule italienne";0;"Florence";1
"Ita1475LdVLou";"Péninsule italienne";"Vérone (?)";"Péninsule italienne";0;"Vérone";1
"Ita1475SodLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1450BdPLou";"Péninsule italienne";"Mantoue (?)";"Péninsule italienne";0;"Mantoue";1
"Ita1507ASolLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1509ASolLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1516RaphLou04";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1516RaphLou05";"Péninsule italienne";"Rome";"Péninsule italienne";0;"Rome";0
"Ita1501RaphLou06";"Péninsule italienne";"Città di Castello";"Péninsule italienne";0;"Città di Castello";0
"Ita1515AdSLou02";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1502PerLou03";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1506LoSpLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500LMaLou";"Péninsule italienne";"Ferrare (?)";"Péninsule italienne";0;"Ferrare";1
"Ita1500GaroLou01";"Péninsule italienne";"Ferrare";"Péninsule italienne";0;"Ferrare";0
"Ita1475GdBLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1506MAlbLou";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"Ita1475BZeLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475PerLou04";"Péninsule italienne";"Pérouse (?)";"Péninsule italienne";0;"Pérouse";1
"Ita1475PerLou05";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500FMaLou";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475AmBLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475AmBLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1475AmBLou03";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1490CBraLouA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1490CBraLouC";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1490CBraLouB";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1450GBelLou01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1450GBelLou02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1450AnoLou03";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1450AnoLou04";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
